  2,  0, -0.912253528209E-04,  0.000000000000E+00,  0.58521E-07,  0.00000E+00 
  2,  1, -0.182240528303E-06,  0.986743378399E-07,  0.57338E-07,  0.50266E-07 
  2,  2,  0.344344414316E-04, -0.643069492547E-07,  0.36190E-07,  0.31605E-07 
  3,  0, -0.377939697352E-05,  0.000000000000E+00,  0.92329E-07,  0.00000E+00 
  3,  1,  0.261915153494E-04,  0.513243605486E-05,  0.91109E-07,  0.64998E-07 
  3,  2,  0.143057885073E-04,  0.484975411610E-05,  0.96276E-07,  0.84955E-07 
  3,  3,  0.125935654319E-04, -0.193716576925E-05,  0.49161E-07,  0.42160E-07 
  4,  0,  0.311112907684E-05,  0.000000000000E+00,  0.12285E-06,  0.00000E+00 
  4,  1, -0.572303554125E-05,  0.133451819207E-05,  0.12720E-06,  0.11447E-06 
  4,  2, -0.681619538984E-05, -0.611981534584E-05,  0.15059E-06,  0.13188E-06 
  4,  3, -0.140064423773E-05, -0.135021727446E-04,  0.11349E-06,  0.12663E-06 
  4,  4, -0.649828295587E-05,  0.437262677981E-05,  0.60797E-07,  0.55706E-07 
  5,  0, -0.363618554613E-06,  0.000000000000E+00,  0.15175E-06,  0.00000E+00 
  5,  1, -0.131754076117E-05, -0.442787205061E-05,  0.88093E-07,  0.94399E-07 
  5,  2,  0.396665747937E-05,  0.135513945731E-05,  0.15270E-06,  0.14552E-06 
  5,  3, -0.450495273691E-06,  0.861861247337E-05,  0.20102E-06,  0.19013E-06 
  5,  4,  0.297233919665E-05, -0.730823169690E-07,  0.16563E-06,  0.18105E-06 
  5,  5,  0.369497496672E-05, -0.326284491225E-05,  0.78878E-07,  0.75588E-07 
  6,  0,  0.394555398815E-05,  0.000000000000E+00,  0.15107E-06,  0.00000E+00 
  6,  1,  0.197408921936E-05, -0.294952849013E-05,  0.16657E-06,  0.17615E-06 
  6,  2, -0.423264260849E-05, -0.187767277439E-05,  0.15740E-06,  0.14644E-06 
  6,  3, -0.295363112702E-05, -0.383541279004E-05,  0.21782E-06,  0.20952E-06 
  6,  4,  0.125983657031E-05, -0.423417476295E-05,  0.26782E-06,  0.27086E-06 
  6,  5,  0.136249095808E-05, -0.100841388475E-04,  0.21896E-06,  0.23985E-06 
  6,  6, -0.523706709573E-05,  0.769194948228E-05,  0.95527E-07,  0.93099E-07 
  7,  0,  0.640420831081E-05,  0.000000000000E+00,  0.20984E-06,  0.00000E+00 
  7,  1,  0.767978860395E-05,  0.261997039665E-06,  0.20171E-06,  0.19978E-06 
  7,  2, -0.139668593413E-05,  0.268902745406E-05,  0.18839E-06,  0.18581E-06 
  7,  3,  0.409047354853E-06,  0.238285407909E-05,  0.19169E-06,  0.19342E-06 
  7,  4, -0.103103965984E-05,  0.130070562025E-05,  0.28826E-06,  0.28061E-06 
  7,  5, -0.120571997679E-05,  0.158503903212E-05,  0.32617E-06,  0.34279E-06 
  7,  6, -0.102746944981E-05,  0.862856415928E-06,  0.27303E-06,  0.28060E-06 
  7,  7, -0.139340328516E-05, -0.210578976419E-05,  0.11555E-06,  0.11349E-06 
  8,  0,  0.258622330507E-05,  0.000000000000E+00,  0.27697E-06,  0.00000E+00 
  8,  1, -0.321207284866E-06,  0.151869440033E-05,  0.26679E-06,  0.26174E-06 
  8,  2,  0.305223379083E-05,  0.127646452754E-05,  0.24900E-06,  0.23867E-06 
  8,  3, -0.138268368353E-05,  0.587478102993E-06,  0.21855E-06,  0.24360E-06 
  8,  4,  0.352864223577E-05, -0.121841445262E-05,  0.23585E-06,  0.24312E-06 
  8,  5, -0.128381087027E-05,  0.228960089967E-05,  0.36781E-06,  0.36268E-06 
  8,  6, -0.602870465997E-06, -0.270355566466E-05,  0.38180E-06,  0.39786E-06 
  8,  7, -0.136717830282E-05,  0.337180237659E-05,  0.31313E-06,  0.31223E-06 
  8,  8, -0.290832070040E-05,  0.265815924901E-05,  0.13131E-06,  0.13042E-06 
  9,  0, -0.205442497698E-05,  0.000000000000E+00,  0.32648E-06,  0.00000E+00 
  9,  1,  0.251603364952E-05,  0.872824063578E-06,  0.25128E-06,  0.22846E-06 
  9,  2,  0.220871793036E-05, -0.175924924406E-05,  0.31690E-06,  0.28393E-06 
